id,value,feed_id,created_at,lat,lon,ele
0F6XTS34G5C8A62HNC0MA6AHDN," 

Slot Number: 8",2425853,2023-01-07 10:23:29 UTC,,,
0F6XV10SG5YZCSA5CS9FB8RR08," 

eS

/=21 BH 2345 AA|

Slot Number: 10",2425853,2023-01-07 10:37:20 UTC,,,
0F6XV118CN9Y1Q2YTCG4025R73," 

eS

/=21 BH 2345 AA|

Slot Number: 10",2425853,2023-01-07 10:37:21 UTC,,,
0F6XV11QJZZYAN7WWDM0BC7CXZ," 

eS

/=21 BH 2345 AA|

Slot Number: 2",2425853,2023-01-07 10:37:23 UTC,,,
0F6XV126QA1CZN73GGF5K249SE," 

eS

/=21 BH 2345 AA|

Slot Number: 1",2425853,2023-01-07 10:37:25 UTC,,,
0F6XV12P037QYFAS6Y2W8RQ6DG," 

eS

/=21 BH 2345 AA|

Slot Number: 4",2425853,2023-01-07 10:37:26 UTC,,,
0F6XV134YW0AY1B7N69AE4M0F7," 

eS

/=21 BH 2345 AA|

Slot Number: 8",2425853,2023-01-07 10:37:28 UTC,,,
0F6XV13M8AQE9RH6M37186C0AZ," 

eS

/=21 BH 2345 AA|

Slot Number: 2",2425853,2023-01-07 10:37:29 UTC,,,
0F6XV142RB99D62GAKJ0XEGCN4," 

eS

/=21 BH 2345 AA|

Slot Number: 4",2425853,2023-01-07 10:37:31 UTC,,,
0F6XV14J2R12CCC57FHZRGFJ1F," 

eS

/=21 BH 2345 AA|

Slot Number: 1",2425853,2023-01-07 10:37:32 UTC,,,
0F6XV151NCNAYDEBAXE4VXER6C," 

eS

/=21 BH 2345 AA|

Slot Number: 8",2425853,2023-01-07 10:37:34 UTC,,,
0F6XV15HPEXNHV9GFWEQHX382E," 

eS

/=21 BH 2345 AA|

Slot Number: 9",2425853,2023-01-07 10:37:35 UTC,,,
0F6XV161K5FDRV9MP2JQTMWE1E," 

eS

/=21 BH 2345 AA|

Slot Number: 9",2425853,2023-01-07 10:37:37 UTC,,,
0F6XV1KSV1D4AGMYBCE7FJ509W," 

eS

/=21 BH 2345 AA|

Slot Number: 4",2425853,2023-01-07 10:38:22 UTC,,,
0F6XV2X8GNEA9AV44H6VSRSEXR," 

eS

/=21 BH 2345 AA|

Slot Number: 4",2425853,2023-01-07 10:40:38 UTC,,,
0F6XV4N5QXNPP3Q1E6FCATCBP6," 

 

AB345 XZ

 

 

Slot Number: 3",2425853,2023-01-07 10:43:41 UTC,,,
0F6XV6X4Y4YHFYNMWX427TQNWT," 

 

AB345 XZ

 

 

Slot Number: 4",2425853,2023-01-07 10:47:37 UTC,,,
0F6XV97N213PSYH5M9MZA5QPQS," 

 

AB345 XZ

 

 

Slot Number: 6",2425853,2023-01-07 10:51:41 UTC,,,
0F6XVA0CVPN628C6MG1VYNCZD8," 

 

AB345 XZ

 

 

Slot Number: 9",2425853,2023-01-07 10:53:02 UTC,,,
0F6XVAJJHCSWBGBT2QKT87N5SZ," 

 

AB345 XZ

 

 

Slot Number: 10",2425853,2023-01-07 10:54:02 UTC,,,
0F6XVB7N1Y0V3PFES6WPEMYEJJ," 

 

AB345 XZ

 

 

Slot Number: 6",2425853,2023-01-07 10:55:11 UTC,,,
0F6XVBF244RZEPP028W82EM83S," 

 

AB345 XZ

 

 

Slot Number: 6",2425853,2023-01-07 10:55:35 UTC,,,
0F6XVE12Q1VWXT554YN2VSP549,"



AB345XZ





Slot Number: 6",2425853,2023-01-07 11:00:04 UTC,,,
0F6XVFSH1DSQ20CFJWNP60TC9Z,"



AB345XZ





Slot Number: 10",2425853,2023-01-07 11:03:09 UTC,,,
0F6XVGRC1Y1PTPDXR47189V5BJ,"



AB345XZ





Slot Number: 3",2425853,2023-01-07 11:04:50 UTC,,,
0F6XVJJ7XZ1DZ2EGHWYMTRPNSH,"



AB345XZ





Slot Number: 7",2425853,2023-01-07 11:08:00 UTC,,,
0F6XVK8TZXDJJPBCW40829AGGM," 

 

AB345 XZ

 

 

Slot Number: 4",2425853,2023-01-07 11:09:14 UTC,,,
0F6XVMBF63THZMQX7AK00WMRFY," 

 

AB345 XZ

 

 

Slot Number: 10",2425853,2023-01-07 11:11:07 UTC,,,
0F6XVQF022WDSAQMHNB9DK7BHS," 

 

AB345 XZ

 

 

Slot Number: 2",2425853,2023-01-07 11:16:33 UTC,,,
0F6XVV4HX1VWKVV7AFVPRZSR8Y," 

 

AB345 XZ

 

 

Slot Number: 5",2425853,2023-01-07 11:22:59 UTC,,,
0F6XVVRMH2E71G7JJCM0V9ZBWS," 

 

AB345 XZ

 

 

Slot Number: 9",2425853,2023-01-07 11:24:04 UTC,,,
0F6XVX9D9W26Q0WS1DQM66R4KZ," 

 

AB345 XZ

 

 

Slot Number: 2",2425853,2023-01-07 11:26:44 UTC,,,
0F6XW1AH35VG0V38Q336RXD0VV," 

 

AB345 XZ

 

 

Slot Number: 10",2425853,2023-01-07 11:33:47 UTC,,,
0F6XWAHXYRQYX5TNEVE912EPN1," 

 

AB345 XZ

 

 

Slot Number: 4",2425853,2023-01-07 11:49:55 UTC,,,
0F6XWATFH5V5MJ4MNBMZV5YWM6," 

 

AB345 XZ

 

 

Slot Number: 6",2425853,2023-01-07 11:50:23 UTC,,,
0F6XWB9ZVEX1QA5NQ16P22Y9TY," 

 

AB345 XZ

 

 

Slot Number: 9",2425853,2023-01-07 11:51:14 UTC,,,
0F6XWBD4M61QWX2AK0125JD0G8," 

 

AB345 XZ

 

 

Slot Number: 3",2425853,2023-01-07 11:51:24 UTC,,,
0F6XWR3GS1MW3V419GQKJD8YX9," 

 

AB345 XZ

 

 

Slot Number: 10",2425853,2023-01-07 12:13:36 UTC,,,
0F6XWS1AHZEN5QACS3RK93Y32A," 

 

AB345 XZ

 

 

Slot Number: 9",2425853,2023-01-07 12:15:14 UTC,,,
0F6XWS5WYVREJ3J0NSVX0APVCG," 

 

AB345 XZ

 

 

Slot Number: 2",2425853,2023-01-07 12:15:29 UTC,,,
0F6XWT3BST7PKMTDY22WJ28Z44," 

 

AB345 XZ

 

 

Slot Number: 5",2425853,2023-01-07 12:17:05 UTC,,,
